drug1,drug2,label
ofloxacin otic ofloxacin ofloxacin ofloxacin ofloxacin,tacrolimus extended-release capsules tacrolimus tacrolimus tacrolimus tacrolimus,0
cefepime cefepime hydrochloride cefepime cefepime cefepime hydrochloride,dalteparin sodium,0
ketoprofen ketoprofen ketoprofen,oxcarbazepine oxcarbazepine oxcarbazepine oxcarbazepine oxcarbazepine,0
hydrocodone bitartrate and acetaminophen hydrocodone polistirex and chlorpheniramine polistirex hydrocodone bitartrate and acetaminophen hydrocodone bitartrate and acetaminophen hydrocodone bitartrate and acetaminophen,paroxetine paroxetine paroxetine hydrochloride paroxetine hydrochloride paroxetine,0
daptomycin daptomycin daptomycin daptomycin daptomycin,aspirin low dose chewable orange pain reliever aspirin low dose,1
benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride,sitagliptin and metformin hydrochloride metformin hydrochloride metformin hydrochloride glipizide and metformin hydrochloride metformin hydrochloride,1
glyburide glyburide glyburide and metformin hydrochloride glyburide glyburide,imatinib mesylate imatinib mesylate imatinib imatinib mesylate imatinib oral,1
bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride,omalizumab omalizumab-igec,0
cefuroxime axetil cefuroxime and dextrose cefuroxime sodium cefuroxime axetil cefuroxime axetil,prednisone prednisone prednisone prednisone prednisone,0
fluconazole fluconazole fluconazole fluconazole fluconazole,vincristine sulfate vincristine sulfate,1
"povidone-iodine povidone-iodine povidone-iodine povidone iodine methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol","diphenhydramine hcl acetaminophen, diphenhydramine hydrochloride, and phenylephrine hydrochloride diphenhydramine hydrochloride diphenhydramine hcl acetaminophen 500mg/ diphenhydramine hcl 25mg",1
tapentadol hydrochloride tapentadol hydrochloride tapentadol hydrochloride,tigecycline tigecycline tigecycline tigecycline tigecycline,0
sulindac sulindac sulindac sulindac sulindac,propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,1
ivabradine ivabradine ivabradine ivabradine ivabradine,docetaxel anhydrous docetaxel docetaxel docetaxel docetaxel,0
meropenem meropenem meropenem meropenem meropenem,oxcarbazepine oxcarbazepine oxcarbazepine oxcarbazepine oxcarbazepine,0
losartan potassium losartan potassium and hydrochlorothiazide losartan potassium losartan potassium and hydrochlorothiazide losartan potassium,ambrisentan ambrisentan ambrisentan ambrisentan ambrisentan,0
ceftriaxone sodium ceftriaxone sodium ceftriaxone sodium ceftriaxone sodium ceftriaxone,oseltamivir phosphate oseltamivir phosphate oseltamivir phosphate oseltamivir phosphate oseltamivir,0
sitagliptin and metformin hydrochloride sitagliptin sitagliptin sitagliptin sitagliptin and metformin hydrochloride,lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride,1
oxycodone hydrochloride oxycodone and acetaminophen oxycodone and acetaminophen oxycodone and acetaminophen oxycodone hydrochloride,tizanidine tizanidine tizanidine hydrochloride tizanidine hydrochloride tizanidine,1
ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine,digoxin digoxin digoxin digoxin digoxin,1
lopinavir and ritonavir ritonavir ritonavir ritonavir ritonavir,fluticasone propionate and salmeterol fluticasone propionate and salmeterol fluticasone propionate and salmeterol fluticasone propionate and salmeterol salmeterol xinafoate,1
cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil,fluvastatin fluvastatin sodium fluvastatin fluvastatin sodium fluvastatin sodium,1
ketoprofen ketoprofen ketoprofen,benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride,0
granisetron hydrochloride granisetron hydrochloride granisetron granisetron hydrochloride granisetron hydrochloride,posaconazole posaconazole posaconazole posaconazole posaconazole,0
piperacillin and tazobactam piperacillin sodium and tazobactam sodium piperacillin and tazobactam piperacillin and tazobactam piperacillin and tazobactam,sodium iodide i-131 sodium iodide i 131 sodium iodide i 131,1
dexamethasone dexamethasone sodium phosphate dexamethasone sodium phosphate dexamethasone dexamethasone,"testosterone testosterone cypionate petroselinum sativum, populus tremuloides, sabal serrulata, chimaphila umbellata, adenosinum triphosphoricum dinatrum, equol, kreosotum, nadidum, testosterone, prostate (suis), succinicum acidum, hepar sulphuris calcareum, conium maculatum, proteus (mirabilis), proteus (vulgaris) testosterone aconiticum acidum, cis-, apis venenum purum, aquilegia vulgaris, bovista, cypripedium pubescens, estradiol, faecalis (alkaligenes), folliculinum, funiculus umbilicalis suis, glandula suprarenalis suis, heart (suis), hydrastis canadensis, hypophysis suis, kreosotum, lachesis mutus, lilium tigrinum, magnesia phosphorica, mercurius solubilis, mutabile bacillus (bach), oophorinum (suis), petroselinum sativum, pineal gland (suis), placenta totalis suis, progesterone, sepia, testosterone, uterus (suis)",1
hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride,azathioprine azathioprine azathioprine azathioprine azathioprine,0
benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride,azathioprine azathioprine azathioprine azathioprine azathioprine,0
phenobarbital phenobarbital phenobarbital phenobarbital phenobarbital,cyclosporine ophthalmic solution cyclosporine cyclosporine cyclosporine cyclosporine,0
oseltamivir phosphate oseltamivir phosphate oseltamivir phosphate oseltamivir phosphate oseltamivir,betamethasone dipropionate betamethasone sodium phosphate and betamethasone acetate betamethasone dipropionate betamethasone valerate betamethasone valerate,1
nifedipine nifedipine nifedipine nifedipine nifedipine,minoxidil minoxidil minoxidil minoxidil minoxidil,0
ipratropium bromide ipratropium bromide and albuterol sulfate ipratropium bromide ipratropium bromide ipratropium bromide and albuterol sulfate,morphine sulfate morphine sulfate morphine sulfate morphine sulfate morphine sulfate,1
oxycodone hydrochloride oxycodone and acetaminophen oxycodone and acetaminophen oxycodone and acetaminophen oxycodone hydrochloride,"1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - betaine - bufo bufo cutaneous gland - calcium carbonate - chromic sulfate - cicuta virosa root - copper - folic acid - gold - cobalamin - iron - lachesis muta venom - melatonin - molybdenum - neurotrophin-3 - neurotrophin-4 - oxytocin - silicon dioxide - sus scrofa frontal lobe - sus scrofa temporal lobe - thyrotropin alfa - ubidecarenone - vanadium - zinc - brain-derived neurotrophic factor human - thyrotropin alfa",1
atenolol atenolol atenolol atenolol and chlorthalidone atenolol,"empagliflozin and metformin hydrochloride empagliflozin empagliflozin empagliflozin empagliflozin, linagliptin, metformin hydrochloride",0
sitagliptin and metformin hydrochloride metformin hydrochloride metformin hydrochloride glipizide and metformin hydrochloride metformin hydrochloride,fluconazole fluconazole fluconazole fluconazole fluconazole,1
ziprasidone ziprasidone hydrochloride ziprasidone mesylate ziprasidone ziprasidone mesylate,danazol danazol danazol danazol,0
ethosuximide ethosuximide ethosuximide ethosuximide ethosuximide,acyclovir acyclovir acyclovir acyclovir acyclovir,0
cimetidine cimetidine cimetidine cimetidine cimetidine,hydroxyzine pamoate hydroxyzine pamoate hydroxyzine pamoate hydroxyzine hydrochloride hydroxyzine hydrochloride,0
ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin hydrochloride,lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide olmesartan medoxomil-hydrochlorothiazide lisinopril and hydrochlorothiazide hydrochlorothiazide,1
nifedipine nifedipine nifedipine nifedipine nifedipine,lopinavir and ritonavir ritonavir ritonavir ritonavir ritonavir,1
formoterol fumarate formoterol fumarate budesonide and formoterol fumarate dihydrate budesonide and formoterol fumarate dihydrate formoterol fumarate,ciclesonide ciclesonide,0
losartan potassium losartan potassium and hydrochlorothiazide losartan potassium losartan potassium and hydrochlorothiazide losartan potassium,imatinib mesylate imatinib mesylate imatinib imatinib mesylate imatinib oral,1
lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide lisinopril and hydrochlorothiazide lisinopril lisinopril,lovastatin lovastatin lovastatin lovastatin lovastatin,0
posaconazole posaconazole posaconazole posaconazole posaconazole,sodium iodide i 123 sodium iodide i 123,0
ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine,prednisolone acetate prednisolone acetate prednisolone acetate prednisolone prednisolone acetate,0
nifedipine nifedipine nifedipine nifedipine nifedipine,carbamazepine carbamazepine carbamazepine carbamazepine carbamazepine,1
fentanyl citrate fentanyl fentanyl fentanyl citrate fentanyl,"povidone-iodine povidone-iodine povidone-iodine povidone iodine methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol",1
erythromycin erythromycin erythromycin ethylsuccinate erythromycin erythromycin,triamcinolone acetonide triamcinolone acetonide triamcinolone acetonide triamcinolone acetonide triamcinolone acetonide,0
amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride,vincristine sulfate vincristine sulfate,0
lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir,bosentan bosentan bosentan bosentan bosentan,1
cefepime cefepime hydrochloride cefepime cefepime cefepime hydrochloride,pioglitazone hydrochloride pioglitazone hydrochloride pioglitazone pioglitazone pioglitazone,1
diltiazem hydrochloride diltiazem hydrochloride diltiazem hydrochloride diltiazem hydrochloride diltiazem hydrochloride,sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline,1
aripiprazole aripiprazole oral aripiprazole aripiprazole aripiprazole,carbamazepine carbamazepine carbamazepine carbamazepine carbamazepine,1
penicillin v potassium penicillin v potassium penicillin v potassium penicillin v potassium penicillin v potassium,vancomycin hydrochloride vancomycin hydrochloride vancomycin hydrochloride vancomycin hydrochloride vancomycin hydrochloride,0
methadone hydrochloride methadone hydrochloride methadone hydrochloride methadone hydrochloride methadone hydrochloride,venlafaxine venlafaxine hydrochloride venlafaxine venlafaxine hydrochloride venlafaxine hydrochloride,1
daptomycin daptomycin daptomycin daptomycin daptomycin,insulin glargine insulin glargine-yfgn insulin glargine insulin glargine insulin glargine-yfgn,0
clobazam clobazam clobazam clobazam clobazam,colchicine colchicine colchicine colchicine colchicine,0
lopinavir and ritonavir ritonavir ritonavir ritonavir ritonavir,norethindrone acetate and ethinyl estradiol norethindrone acetate/ethinyl estradiol and ferrous fumarate norethindrone acetate and ethinyl estradiol and ferrous fumarate norethindrone acetate and ethinyl estradiol and ferrous fumarate norethindrone acetate/ethinyl estradiol,1
atenolol atenolol atenolol atenolol and chlorthalidone atenolol,aclidinium bromide and formoterol fumarate aclidinium bromide,0
topiramate topiramate topiramate topiramate topiramate,allopurinol allopurinol allopurinol allopurinol allopurinol,0
zanamivir,cromolyn sodium cromolyn sodium inhalation solution cromolyn sodium cromolyn sodium cromolyn sodium inhalation,0
itraconazole itraconazole itraconazole itraconazole itraconazole,posaconazole posaconazole posaconazole posaconazole posaconazole,1
levofloxacin levofloxacin levofloxacin levofloxacin levofloxacin,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
felodipine felodipine felodipine felodipine felodipine,digoxin digoxin digoxin digoxin digoxin,1
fentanyl citrate fentanyl fentanyl fentanyl citrate fentanyl,nitrofurantoin nitrofurantoin (monohydrate/macrocrystals) nitrofurantoin (monohydrate/macrocrystals) nitrofurantoin (monohydrate/macrocrystals) nitrofurantoin (monohydrate/macrocrystals),0
glyburide glyburide glyburide and metformin hydrochloride glyburide glyburide,cromolyn sodium cromolyn sodium inhalation solution cromolyn sodium cromolyn sodium cromolyn sodium inhalation,0
"imipenem and cilastatin sodium imipenem and cilastatin imipenem and cilastatin sodium imipenem anhydrous, cilastatin, and relebactam anhydrous imipenem and cilastatin sodium",fluvastatin fluvastatin sodium fluvastatin fluvastatin sodium fluvastatin sodium,1
spironolactone spironolactone spironolactone spironolactone and hydrochlorothiazide spironolactone,sucralfate sucralfate sucralfate sucralfate sucralfate oral,1
anastrozole anastrozole anastrozole anastrozole anastrozole tablets,letrozole letrozole letrozole letrozole letrozole tablets,1
oxaprozin oxaprozin oxaprozin oxaprozin oxaprozin,benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride,0
"acetaminophen acetaminophen acetaminophen acetaminophen, dextromethorphan hbr, phenylephrine hcl acetaminophen",duloxetine hydrochloride duloxetine hydrochloride duloxetine duloxetine duloxetine,1
piroxicam piroxicam piroxicam piroxicam piroxicam,sodium iodide i-131 sodium iodide i 131 sodium iodide i 131,0
duloxetine hydrochloride duloxetine hydrochloride duloxetine duloxetine duloxetine,nortriptyline hydrochloride nortriptyline hydrochloride nortriptyline hydrochloride nortriptyline hcl nortriptyline hcl,1
hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride,zanamivir,0
tramadol hydrochloride tramadol hydrochloride tramadol hydrochloride tramadol hydrochloride tramadol hydrochloride,alogliptin and metformin hydrochloride alogliptin alogliptin alogliptin and pioglitazone alogliptin benzoate and pioglitazone hydrochloride,1
formoterol fumarate formoterol fumarate budesonide and formoterol fumarate dihydrate budesonide and formoterol fumarate dihydrate formoterol fumarate,tacrolimus extended-release capsules tacrolimus tacrolimus tacrolimus tacrolimus,0
hydrocodone bitartrate and acetaminophen hydrocodone polistirex and chlorpheniramine polistirex hydrocodone bitartrate and acetaminophen hydrocodone bitartrate and acetaminophen hydrocodone bitartrate and acetaminophen,enalapril maleate enalapril maleate enalapril maleate enalapril maleate enalapril maleate,1
sulindac sulindac sulindac sulindac sulindac,amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride,1
ampicillin sodium and sulbactam sodium ampicillin sodium ampicillin sodium ampicillin ampicillin,indapamide indapamide indapamide indapamide indapamide,0
ipratropium bromide ipratropium bromide and albuterol sulfate ipratropium bromide ipratropium bromide ipratropium bromide and albuterol sulfate,sodium iodide i-131 sodium iodide i 131 sodium iodide i 131,0
insulin glargine insulin glargine-yfgn insulin glargine insulin glargine insulin glargine-yfgn,aclidinium bromide and formoterol fumarate aclidinium bromide,0
torsemide torsemide torsemide torsemide torsemide,levonorgestrel and ethinyl estradiol norgestimate and ethinyl estradiol estradiol estradiol estradiol,0
canagliflozin canagliflozin canagliflozin and metformin hydrochloride canagliflozin canagliflozin,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
ivabradine ivabradine ivabradine ivabradine ivabradine,duloxetine hydrochloride duloxetine hydrochloride duloxetine duloxetine duloxetine,1
metoclopramide metoclopramide metoclopramide metoclopramide metoclopramide,granisetron hydrochloride granisetron hydrochloride granisetron granisetron hydrochloride granisetron hydrochloride,1
chlorthalidone chlorthalidone chlorthalidone chlorthalidone chlorthalidone,tiotropium bromide and olodaterol olodaterol respimat inhalation spray,0
clozapine clozapine clozapine clozapine clozapine,"methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, isopropyl alcohol methylprednisolone methylprednisolone sodium succinate",1
lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride,"clobetasol propionate ointment usp, 0.05% clobetasol propionate clobetasol propionate clobetasol propionate ointment, 0.05% clobetasol propionate ointment usp, 0.05%",0
meloxicam meloxicam meloxicam meloxicam meloxicam,levofloxacin levofloxacin levofloxacin levofloxacin levofloxacin,0
norethindrone acetate and ethinyl estradiol norethindrone acetate/ethinyl estradiol and ferrous fumarate norethindrone acetate and ethinyl estradiol and ferrous fumarate norethindrone acetate and ethinyl estradiol and ferrous fumarate norethindrone acetate/ethinyl estradiol,levonorgestrel and ethinyl estradiol norgestimate and ethinyl estradiol estradiol estradiol estradiol,1
"imipenem and cilastatin sodium imipenem and cilastatin imipenem and cilastatin sodium imipenem anhydrous, cilastatin, and relebactam anhydrous imipenem and cilastatin sodium",phenytoin sodium phenytoin phenytoin phenytoin phenytoin sodium,1
prazosin hydrochloride prazosin hydrochloride prazosin hcl prazosin hydrochloride prazosin hydrochloride,ezetimibe and simvastatin ezetimibe and simvastatin ezetimibe ezetimibe ezetimibe,0
verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride,"dextromethorphan hbr, guaifenesin guaifenesin acetaminophen, dextromethorphan hydrobromide, guaifenesin, phenylephrine hydrochloride guaifenesin and pseudoephedrine hcl guaifenesin",1
ibuprofen ibuprofen ibuprofen ibuprofen ibuprofen,tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate,0
propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,oral semaglutide semaglutide semaglutide semaglutide semaglutide,1
lovastatin lovastatin lovastatin lovastatin lovastatin,ziprasidone ziprasidone hydrochloride ziprasidone mesylate ziprasidone ziprasidone mesylate,0
"linagliptin and metformin hydrochloride linagliptin and metformin hydrochloride empagliflozin, linagliptin, metformin hydrochloride linagliptin linagliptin","empagliflozin and metformin hydrochloride empagliflozin empagliflozin empagliflozin empagliflozin, linagliptin, metformin hydrochloride",1
olmesartan medoxomil-hydrochlorothiazide amlodipine and olmesartan medoxomil olmesartan medoxomil and hydrochlorothiazide olmesartan medoxomil and hydrochlorothiazide olmesartan medoxomil,voriconazole voriconazole voriconazole voriconazole voriconazole,0
lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride,doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride,1
sulindac sulindac sulindac sulindac sulindac,ziprasidone ziprasidone hydrochloride ziprasidone mesylate ziprasidone ziprasidone mesylate,1
ciclesonide ciclesonide,zafirlukast zafirlukast zafirlukast zafirlukast zafirlukast,0
imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride,ipratropium bromide ipratropium bromide and albuterol sulfate ipratropium bromide ipratropium bromide ipratropium bromide and albuterol sulfate,0
mesalamine mesalamine mesalamine mesalamine mesalamine,anastrozole anastrozole anastrozole anastrozole anastrozole tablets,1
ranitidine ranitidine ranitidine ranitidine hydrochloride ranitidine hydrochloride,amphotericin b amphotericin b amphotericin b amphotericin b amphotericin b,0
liothyronine sodium liothyronine sodium levothyroxine and liothyronine liothyronine sodium liothyronine sodium,"povidone-iodine povidone-iodine povidone-iodine povidone iodine methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol",1
"linagliptin and metformin hydrochloride linagliptin and metformin hydrochloride empagliflozin, linagliptin, metformin hydrochloride linagliptin linagliptin",lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir,0
verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride,bleomycin sulfate bleomycin bleomycin bleomycin sulfate bleomycin,0
dapagliflozin and saxagliptin saxagliptin and metformin hydrochloride saxagliptin saxagliptin saxagliptin and metformin,cimetidine cimetidine cimetidine cimetidine cimetidine,1
methimazole methimazole methimazole methimazole methimazole,"loratadine loratadine loratadine loratadine loratadine, pseudoephedrine sulfate",0
liraglutide liraglutide liraglutide liraglutide liraglutide,imatinib mesylate imatinib mesylate imatinib imatinib mesylate imatinib oral,1
"aspirin aspirin aspirin acetaminophen, aspirin, and caffeine aspirin",phenytoin sodium phenytoin phenytoin phenytoin phenytoin sodium,0
carvedilol carvedilol carvedilol carvedilol carvedilol,cimetidine cimetidine cimetidine cimetidine cimetidine,1
minoxidil minoxidil minoxidil minoxidil minoxidil,fluconazole fluconazole fluconazole fluconazole fluconazole,0
digoxin digoxin digoxin digoxin digoxin,sulfasalazine sulfasalazine sulfasalazine sulfasalazine sulfasalazine,1
micafungin micafungin micafungin micafungin sodium micafungin sodium,dexamethasone dexamethasone sodium phosphate dexamethasone sodium phosphate dexamethasone dexamethasone,1
penicillin v potassium penicillin v potassium penicillin v potassium penicillin v potassium penicillin v potassium,hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride,0
zanamivir,ambrisentan ambrisentan ambrisentan ambrisentan ambrisentan,0
caspofungin acetate caspofungin acetate caspofungin acetate caspofungin acetate caspofungin acetate,dexamethasone dexamethasone sodium phosphate dexamethasone sodium phosphate dexamethasone dexamethasone,1
"moxifloxacin hydrochloride moxifloxacin hydrochloride tablets, 400 mg moxifloxacin ophthalmic solution moxifloxacin hydrochloride moxifloxacin",sitagliptin and metformin hydrochloride sitagliptin sitagliptin sitagliptin sitagliptin and metformin hydrochloride,1
ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin hydrochloride,minoxidil minoxidil minoxidil minoxidil minoxidil,0
ivabradine ivabradine ivabradine ivabradine ivabradine,"levothyroxine sodium levothyroxine sodium levothyroxine sodium 1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - levothyroxine sodium",0
lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide lisinopril and hydrochlorothiazide lisinopril lisinopril,aripiprazole aripiprazole oral aripiprazole aripiprazole aripiprazole,1
lansoprazole lansoprazole lansoprazole lansoprazole lansoprazole,reslizumab,0
fenofibrate fenofibrate fenofibrate fenofibrate fenofibrate,"1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - betaine - bufo bufo cutaneous gland - calcium carbonate - chromic sulfate - cicuta virosa root - copper - folic acid - gold - cobalamin - iron - lachesis muta venom - melatonin - molybdenum - neurotrophin-3 - neurotrophin-4 - oxytocin - silicon dioxide - sus scrofa frontal lobe - sus scrofa temporal lobe - thyrotropin alfa - ubidecarenone - vanadium - zinc - brain-derived neurotrophic factor human - thyrotropin alfa",1
"aspirin aspirin aspirin acetaminophen, aspirin, and caffeine aspirin",clobazam clobazam clobazam clobazam clobazam,0
triamcinolone acetonide triamcinolone acetonide triamcinolone acetonide triamcinolone acetonide triamcinolone acetonide,"desonide desonide desonide desonide desonide ointment, 0.05%",1
propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,"dextromethorphan hbr, guaifenesin guaifenesin acetaminophen, dextromethorphan hydrobromide, guaifenesin, phenylephrine hydrochloride guaifenesin and pseudoephedrine hcl guaifenesin",1
indomethacin indomethacin indomethacin indomethacin indomethacin,dexamethasone dexamethasone sodium phosphate dexamethasone sodium phosphate dexamethasone dexamethasone,1
fluconazole fluconazole fluconazole fluconazole fluconazole,famciclovir famciclovir famciclovir famciclovir famciclovir,0
nitrofurantoin nitrofurantoin (monohydrate/macrocrystals) nitrofurantoin (monohydrate/macrocrystals) nitrofurantoin (monohydrate/macrocrystals) nitrofurantoin (monohydrate/macrocrystals),"furosemide furosemide furosemide, benzalkonium chloride furosemide furosemide",0
venlafaxine venlafaxine hydrochloride venlafaxine venlafaxine hydrochloride venlafaxine hydrochloride,carboplatin carboplatin carboplatin carboplatin carboplatin,0
cefuroxime axetil cefuroxime and dextrose cefuroxime sodium cefuroxime axetil cefuroxime axetil,levonorgestrel and ethinyl estradiol norgestimate and ethinyl estradiol estradiol estradiol estradiol,0
alprazolam alprazolam alprazolam alprazolam alprazolam,lamotrigine lamotrigine lamotrigine lamotrigine lamotrigine,0
celecoxib celecoxib celecoxib celecoxib celecoxib,desvenlafaxine succinate desvenlafaxine er desvenlafaxine desvenlafaxine succinate desvenlafaxine,0
cefepime cefepime hydrochloride cefepime cefepime cefepime hydrochloride,gabapentin gabapentin gabapentin gabapentin gabapentin,0
sucralfate sucralfate sucralfate sucralfate sucralfate oral,aripiprazole aripiprazole oral aripiprazole aripiprazole aripiprazole,1
irbesartan irbesartan irbesartan irbesartan irbesartan and hydrochlorothiazide,clozapine clozapine clozapine clozapine clozapine,0
oxycodone hydrochloride oxycodone and acetaminophen oxycodone and acetaminophen oxycodone and acetaminophen oxycodone hydrochloride,carbamazepine carbamazepine carbamazepine carbamazepine carbamazepine,1
tapentadol hydrochloride tapentadol hydrochloride tapentadol hydrochloride,ethosuximide ethosuximide ethosuximide ethosuximide ethosuximide,0
venlafaxine venlafaxine hydrochloride venlafaxine venlafaxine hydrochloride venlafaxine hydrochloride,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
betamethasone dipropionate betamethasone sodium phosphate and betamethasone acetate betamethasone dipropionate betamethasone valerate betamethasone valerate,gabapentin gabapentin gabapentin gabapentin gabapentin,0
benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride,dapagliflozin and saxagliptin saxagliptin and metformin hydrochloride saxagliptin saxagliptin saxagliptin and metformin,1
desvenlafaxine succinate desvenlafaxine er desvenlafaxine desvenlafaxine succinate desvenlafaxine,alprazolam alprazolam alprazolam alprazolam alprazolam,0
"clarithromycin clarithromycin clarithromycin vonoprazan fumarate and amoxicillin, vonoprazan fumarate, amoxicillin and clarithromycin clarithromycin",methimazole methimazole methimazole methimazole methimazole,0
lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir,methimazole methimazole methimazole methimazole methimazole,0
verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride,atorvastatin calcium atorvastatin film coated atorvastatin calcium amlodipine and atorvastatin atorvastatin calcium,1
